timestamp,open,high,price_validation,hourly_volatility,low,close,price_change,volume
2025-05-13T09:29:36,103243.7,103435.2,Valid,232,103203.1,103332.1,88,19.86083963
2025-05-13T09:44:32,103332.2,103500,Valid,168,103332.1,103461.2,129,13.26684523
2025-05-13T09:59:28,103461.2,103513.2,Valid,179,103334.5,103414.5,-47,14.48694482
2025-05-13T10:14:24,103414.5,103494.6,Valid,226,103268.8,103494.5,80,7.53630587
2025-05-13T10:29:20,103494.6,103534.2,Valid,148,103386.4,103453.8,-41,16.0978761
2025-05-13T10:44:16,103453.8,103618.1,Valid,192,103426,103554.6,101,12.44743442
2025-05-13T10:59:12,103554.6,103561.1,Valid,111,103450.6,103450.6,-104,11.6469281
2025-05-13T11:14:08,103450.6,103646.8,Valid,196,103450.6,103602.1,152,19.2008975
2025-05-13T11:29:04,103602,103810.2,Valid,247,103563.1,103810.2,208,24.41855538
2025-05-13T11:44,103810.2,103810.6,Valid,189,103621.8,103719.9,-90,16.64050095
2025-05-13T11:58:56,103719.9,103812.2,Valid,357,103455.4,103516.5,-203,25.90504155
2025-05-13T12:16,103520.6,103675.1,Valid,230,103444.7,103546.3,26,21.34239578
2025-05-13T12:30:56,103550.4,103998,Valid,676,103322,103725.6,175,156.58270526
2025-05-13T12:45:52,103725.6,103839.8,Valid,289,103551.1,103673,-53,37.98928332
2025-05-13T13:00:48,103673.1,103797.1,Valid,304,103492.7,103546.5,-127,24.83582878
2025-05-13T13:15:44,103546.5,103826.8,Valid,287,103540,103784.3,238,20.87713397
2025-05-13T13:30:40,103784.4,103920.5,Valid,386,103534.1,103581.6,-203,51.25405757
2025-05-13T13:45:36,103581.4,103790,Valid,389,103400.8,103710.6,129,51.97311696
2025-05-13T14:00:32,103710.6,103745,Valid,751,102994,103083.7,-627,74.50411954
2025-05-13T14:15:28,103083.6,103437.5,Valid,628,102809.2,103384.5,301,47.59741461
2025-05-13T14:30:24,103389.6,103389.6,Valid,365,103024.5,103124.6,-265,28.05638414
2025-05-13T14:45:20,103124.3,103250.6,Valid,353,102897.6,103182.6,58,23.53013286
2025-05-13T15:00:16,103182.6,103860.9,Valid,730,103131.3,103739.8,557,39.39321385
2025-05-13T15:15:12,103735.1,103818,Valid,251,103567.3,103685.3,-50,19.27685236
2025-05-13T15:30:08,103675.2,103728.5,Valid,274,103454.1,103613,-62,33.15101243
2025-05-13T15:45:04,103613,103706.7,Valid,296,103410.6,103677.9,65,16.2840106
2025-05-13T16:00,103677.8,104321.4,Valid,787,103534.3,104311.8,634,42.17004329
2025-05-13T16:14:56,104311.9,104386.7,Valid,402,103984.9,104146.8,-165,27.2692332
2025-05-13T16:29:52,104150.9,104258.8,Valid,315,103943.9,103943.9,-207,32.37355827
2025-05-13T16:44:48,103937.6,103988.1,Valid,277,103711.4,103723.2,-214,21.89099884
2025-05-13T16:59:44,103723.3,103978.9,Valid,287,103691.8,103883.7,160,21.1063225
2025-05-13T17:14:40,103883.8,104033.6,Valid,248,103786,103831.6,-52,21.22284623
2025-05-13T17:29:36,103831.6,104066.3,Valid,355,103711.5,104053.7,222,11.4737533
2025-05-13T17:44:32,104058.6,104305.8,Valid,275,104030.4,104259.1,201,18.48645982
2025-05-13T17:59:28,104259.1,104426.8,Valid,252,104175,104426.7,168,17.74713423
2025-05-13T18:14:24,104426.8,104426.8,Valid,139,104287.8,104353.6,-73,10.5549597
2025-05-13T18:29:20,104350.7,104388.2,Valid,259,104129.1,104130.5,-220,14.99383255
2025-05-13T18:44:16,104130.6,104370.3,Valid,286,104084.3,104358.9,228,13.63320474
2025-05-13T18:59:12,104359,104382.1,Valid,226,104156.2,104276.8,-82,17.18268857
2025-05-13T19:14:08,104272,104663.6,Valid,484,104180,104588.9,317,25.42382363
2025-05-13T19:29:04,104588.9,104900,Valid,343,104556.9,104840.8,252,31.54092292
2025-05-13T19:44,104844.1,104972.6,Valid,496,104477,104784.8,-59,64.84073069
2025-05-13T20:01:04,104784.9,104932,Valid,541,104390.9,104578.2,-207,70.25780947
2025-05-13T20:16,104572.7,104579.5,Valid,173,104406.8,104519.4,-53,21.16146024
